"id",""1. What was the name of course?","2. What is the complexity level of the course?","3. What was the duration of your course in weeks, excluding the final exam?","4. Did you teach in your preferred natural language (e.g. native)?","5. How many students actually participated in the course? (not just enrollment, but real participation)","6-1. How many Full-Time Equivalent (FTE) you additionally obtained with Teaching Assistants, e.g. for 5 TAs with 0.4 FTE it'll be 2? (answer 0 if you didn't have Teaching Assistants)","6-2. If you had Teaching Assistants, to which extend they participated in the assessment process?","7. What is the main cognitive layer for your course?","8. How long have you been working as a teacher (in years)?","9. What is your highest qualification?","10. If you have taken any of the teaching courses for didactic skills and assessment design, please indicate which ones","1. How many times did students hand in non-graded assignments, which didn't contribute to the student's grade but you still had to look through submitted work and provide feedback?","2. How many times did students hand in assignments that were graded?","3. What sources constituted to the final grade of the student?","4. What was the main assignment type that contributed to the summative grade of a student?","5. What assignment type was the second by the degree of contribution to the summative grade of a student?","6. Did you have assignments that depend one on another? (e.g. students were developing some prototype or system where the next described artifact is related to the previous ones)","7. Which activity took the most time to prepare the assessment for the course that was taught for the first time?","8. For a new course how did you identify the type of assessment?","9. How much time did the designing of the assessment for the new course take? (in hours)","1. To estimate the volume of the assignments, how many hours did you expect a student spent working on all assignments in total?","2. How strict/close are the requirements for graded assignments?","3. How can the level of detail of the feedback you gave with grading best be described?","4. Did you use auxiliary software for assignment results or artifacts verification? (e.g. self-made or found code testing environments, programs for checking notation usage and model flow executability, etc.)","5. How many students per group for some graded assignments did you have? (answer 1 if you didn't join students to groups for any graded assignment)","1. Why are you taking an assessment (exam)?","2. What do you want to assess?","3. How do you determine what to assess and how to assess it?","4. Which factors, do you emphasize to design an assessment?","5. How do you ensure transparency in marking(scoring) assessment?","6. What type of scoring/grading is required for such an assessment?","7. What is the duration of such an assessment? (in minutes)","8. While designing such assessment, how much content did you reuse from previous assessment materials?","9. How much time did it take by you to to design this assessment? (in hours)","10. How much time did it take to design rubrics for such assessment? (in hours)","1. How many hours did you spend defining the assessing process and creating relevant artifacts? (e.g. choosing and describing the type and content of assignments, developing rubrics, guides, tests, and templates)","2. How many hours did you spend conducting activities that relate to graded assignments and include student AND teacher participation? (e.g. conducting oral exams, written tests, Q/A sessions for interim assignment results)","3. How many hours did you spend assessing and grading students for this course? (e.g. checking and analyzing answers, assessing according to the rubric, consulting with TAs, writing feedback)","4. How many hours did you spend handling student's feedback and questions after grading? (e.g. additional grade explanation/defending, reevaluating)"
"1",""Big Data in Sport and Human Movement Science","Intermediate (e.g. begining Master's courses, specializing Bachelor's courses)","10","Yes","40","0.5","6","Apply","9","Ph.D.","nothing","1","9","Short problem-solving assignments (there is an expected answer with some variations; just a few  analytical steps and application of lecture material are required to come to a solution);Project-like problem-solving assignments (there is no concrete right expected answer; students are offered a problem to tackle; work is based on the application of obtained theory, additional researching, and reasoning of choices; each student can have his/her own approach);Presentations","Project-like problem-solving assignments","Short problem-solving assignments","No","Understanding the course objectives","Checking course objectives,;Course content","120","20","8","9","No","5","Evaluate / grade students;To obtain feedback of your teaching","Knowledge or its use;Convergent thinking / divergent thinking","Use the topics / learning objectives provided in your course outline","Validity;Realistic expectations;Perceived fairness","Provide feedback on assignments;Explain your expectations during the class","Score (out of 100)","100","5","50","5","20","15","40","20"
"2",""Computer Vision","Advanced (e.g. specializing Master's courses)","10","Yes","33","0.3","8","High level (create/evaluate/analyze)","22","Ph.D.","BKO (Basis Kwalificatie Onderwijs)","0","4","Project-like problem-solving assignments (there is no concrete right expected answer; students are offered a problem to tackle; work is based on the application of obtained theory, additional researching, and reasoning of choices; each student can have his/her own approach);Oral tests/exams","Oral tests/exams","Project-like problem-solving assignments","No","","","","","","","","","Evaluate / grade students;To obtain feedback of your teaching","Knowledge or its use;Process or product;Communication of ideas","Use the topics / learning objectives provided in your course outline","Validity;Reliability;Perceived fairness","Designing rubrics;Provide feedback on assignments;Explain your expectations during the class;Post model solutions","Score (out of 100)","30","5","1","1","2","30","10","1"
"3",""Knowledge Representation on the Web","Advanced (e.g. specializing Master's courses)","10","No","12","0","","Apply","3","Ph.D.","","3","3","Tests/exam with questions of both types - closed and open;Project-like problem-solving assignments (there is no concrete right expected answer; students are offered a problem to tackle; work is based on the application of obtained theory, additional researching, and reasoning of choices; each student can have his/her own approach);Presentations","Project-like problem-solving assignments","Tests/exam with questions of both types","Yes","","","","60","5","8","No","4","Adding variety to student learning;Identify weakness and correct them","Knowledge or its use;Convergent thinking / divergent thinking","Use the topics / learning objectives provided in your course outline","Consistency;Validity;Perceived fairness","Designing rubrics;Provide feedback on assignments;Explain your expectations during the class","Sufficient / Insufficient","60","8","5","3","5","5","10","5"
"4",""Programmeermethoden","Beginning (e.g. begining Bachelor's courses)","14","Yes","200","2","5","Apply","40","Ph.D.","BKO (Basis Kwalificatie Onderwijs);Second degree high school teaching diploma;SKO","0","4","Tests/exam with open questions implying short-answers;Project-like problem-solving assignments (there is no concrete right expected answer; students are offered a problem to tackle; work is based on the application of obtained theory, additional researching, and reasoning of choices; each student can have his/her own approach)","Tests/exam with open questions","Project-like problem-solving assignments","No","","","","","","","","","Evaluate / grade students","Knowledge or its use","Use the topics / learning objectives provided in your course outline;Glide through your lecture notes to find key concepts and methods","Realistic expectations;Reliability","Provide feedback on assignments;Explain your expectations during the class","Score (out of 100)","1000","5","20","0","10","60","120","20"
"5","Scientific Perspectives on GMT","Intermediate (e.g. begining Master's courses, specializing Bachelor's courses)","10","Yes","46","0","","High level (create/evaluate/analyze)","5","Ph.D.","I studied computer education and educational technology in my Bachelors","0","6","Assignments with open questions implying detailed answer (for example, an outcome from read paper or attended lecture, personal reflection);Oral tests/exams","Assignments with open questions implying detailed answer","Oral tests/exams","No","Understanding the course objectives","Course content","30","120","8","9","No","4","Evaluate / grade students;Identify weakness and correct them;To obtain feedback of your teaching","Knowledge or its use;Communication of ideas","Use the topics / learning objectives provided in your course outline;Glide through your lecture notes to find key concepts and methods","Consistency;Validity;Realistic expectations;Reliability","Designing rubrics;Provide feedback on assignments;Explain your expectations during the class","Score (out of 100)","120","4","15","5","60","5","70","2"
"6","Object-Oriented Programming","Beginning (e.g. begining Bachelor's courses)","9","No","490","7.5","6","Apply","13","Ph.D.","BKO (Basis Kwalificatie Onderwijs)","5","1","Tests/exam with questions of both types - closed and open;A closed book computer exam in which they had to program an assignment of approximately 600 lines of Java code","Tests/exam with questions of both types","Short problem-solving assignments","Yes","","Checking course objectives,","","","","","","","Evaluate / grade students;To obtain feedback of your teaching","Knowledge or its use","Use the topics / learning objectives provided in your course outline","Validity","Designing rubrics","Score (out of 100)","15","4","6","1","7","0","125","8"
"7","Inleiding Programmeervaardigheden	","Beginning (e.g. begining Bachelor's courses)","7","Yes","224","0.5","4","Apply","10","Ph.D.","BKO (Basis Kwalificatie Onderwijs)","0","3","Tests/exam with closed questions (True/False, multiple choice);Tests/exam with open questions implying short-answers;Project-like problem-solving assignments (there is no concrete right expected answer; students are offered a problem to tackle; work is based on the application of obtained theory, additional researching, and reasoning of choices; each student can have his/her own approach)","Tests/exam with closed questions","Project-like problem-solving assignments","No","","","","","","","","","Evaluate / grade students","Knowledge or its use","Use the topics / learning objectives provided in your course outline;Review chapter headings and subheadings in the assigned readings","Consistency;Validity;Realistic expectations;Reliability;Perceived fairness","Designing rubrics;Provide feedback on assignments;Explain your expectations during the class","Score (out of 100)","900","10","32","16","16","6","48","4"
"8","Project ISO","Beginning (e.g. begining Bachelor's courses)","20","No","36","0","","Apply","1","Master's","BKO (Basis Kwalificatie Onderwijs)","9","4","Project-like problem-solving assignments (there is no concrete right expected answer; students are offered a problem to tackle; work is based on the application of obtained theory, additional researching, and reasoning of choices; each student can have his/her own approach);Presentations; Client's grade, Peer review","Project-like problem-solving assignments","Other (from question 3)","Yes","Understanding the course objectives","Checking course objectives,;Course content","120","250","3","9","No","5","Evaluate / grade students;Adding variety to student learning;Identify weakness and correct them;To certify students on standardized test","Knowledge or its use;Process or product;Communication of ideas","Use the topics / learning objectives provided in your course outline;Review chapter headings and subheadings in the assigned readings","Consistency;Validity;Realistic expectations;Reliability","Designing rubrics;Provide feedback on assignments","Score (out of 100)","1800","7","60","40","60","15","180","0"
"9","Programming with Python","Beginning (e.g. begining Bachelor's courses)","10","No","125","0.8","7","Apply","15","Ph.D.","BKO (Basis Kwalificatie Onderwijs)","0","6","Short problem-solving assignments (there is an expected answer with some variations; just a few  analytical steps and application of lecture material are required to come to a solution);Project-like problem-solving assignments (there is no concrete right expected answer; students are offered a problem to tackle; work is based on the application of obtained theory, additional researching, and reasoning of choices; each student can have his/her own approach)","Short problem-solving assignments","Project-like problem-solving assignments","No","","","","45","7","3","Yes","4","Evaluate / grade students;Identify weakness and correct them","Knowledge or its use;Convergent thinking / divergent thinking","Use the topics / learning objectives provided in your course outline;Glide through your lecture notes to find key concepts and methods","Validity;Realistic expectations;Perceived fairness","Designing rubrics;Provide feedback on assignments;Explain your expectations during the class;Post model solutions","Score (out of 100)","180","3","8","2","40","5","80","20"
"10","Algoritmiek","Beginning (e.g. begining Bachelor's courses)","15","Yes","125","1","8","Apply","20","Ph.D.","BKO (Basis Kwalificatie Onderwijs)","50","425","Tests/exam with open questions implying short-answers;Short problem-solving assignments (there is an expected answer with some variations; just a few  analytical steps and application of lecture material are required to come to a solution);Project-like problem-solving assignments (there is no concrete right expected answer; students are offered a problem to tackle; work is based on the application of obtained theory, additional researching, and reasoning of choices; each student can have his/her own approach)","Short problem-solving assignments","Project-like problem-solving assignments","No","","","","65","7","8","Yes","2","Evaluate / grade students;Adding variety to student learning","Knowledge or its use;Absolute or relative standards","Use the topics / learning objectives provided in your course outline;Glide through your lecture notes to find key concepts and methods;Review chapter headings and subheadings in the assigned readings","Consistency;Realistic expectations;Perceived fairness","Provide feedback on assignments;Explain your expectations during the class;Post model solutions","Score (out of 100)","180","6","12","3","90","30","140","5"
